provider,baseURL,apiKeyEnv,modelsEndpoint,authType
Kilo Gateway,https://api.kilo.ai/v1/chat/completions,KILO_GATEWAY_API_KEY,https://api.kilo.ai/api/gateway/models,Bearer
NVIDIA NIM,https://integrate.api.nvidia.com/v1/chat/completions,NVIDIA_NIM_API_KEY,https://integrate.api.nvidia.com/v1/models,Bearer
Mistral,https://api.mistral.ai/v1/chat/completions,MISTRAL_API_KEY,https://api.mistral.ai/v1/models,Bearer
Codestral,https://codestral.mistral.ai/v1/chat/completions,CODESTRAL_API_KEY,https://api.mistral.ai/v1/models,Bearer
Hugging Face,https://api-inference.huggingface.co/v1/chat/completions,HUGGINGFACE_API_KEY,https://router.huggingface.co/v1/models,Bearer
Zen,https://api.z.ai/api/v1/chat/completions,ZEN_API_KEY,https://api.z.ai/api/v1/models,Bearer
Cerebras,https://api.cerebras.ai/v1/chat/completions,CEREBRAS_API_KEY,https://api.cerebras.ai/v1/models,Bearer
Groq,https://api.groq.com/v1/chat/completions,GROQ_API_KEY,https://api.groq.com/openai/v1/models,Bearer
Cohere,https://api.cohere.com/v1/chat,COHERE_API_KEY,https://api.cohere.com/v1/models,Bearer
Fireworks,https://api.fireworks.ai/inference/v1/chat/completions,FIREWORKS_API_KEY,https://api.fireworks.ai/inference/v1/models,Bearer
Command,https://api.commandcode.ai/provider/v1/chat/completions,COMMAND_API_KEY,https://api.commandcode.ai/provider/v1/models,Bearer
Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/chat/completions,VERCEL_AI_GATEWAY_API_KEY,https://ai-gateway.vercel.sh/v1/models,Bearer
Refiant,https://api.refiant.ai/v1/chat/completions,REFIANT_API_KEY,https://api.refiant.ai/v1/models,Bearer
Deep Infra,https://api.deepinfra.com/v1/openai/chat/completions,DEEPINFRA_API_KEY,https://api.deepinfra.com/v1/openai/models,Bearer
Pollination,https://gen.pollinations.ai/v1/chat/completion,POLLINATION_API_KEY,https://gen.pollinations.ai/v1/models,Bearer
Qwen,https://chat.qwen.ai/api/v2/chat/completions?chat_id=7a64578f-9a23-45be-ace4-9d9aee57d5a3,QWEN_COOKIE,,Cookie
Kimi,https://kimi.moonshot.cn/api/chat,KIMI_COOKIE,,Cookie
